as_of_date,target_date,n_mandis_ranked,n_dropped,best_realized_net_price,best_mandi,regret_at_1,top1_mandi,regret_at_3,top3_mandi,nearest_mandi_regret
2025-07-26,2025-08-02,15,0,1300.0814333840474,Lasalgaon(Niphad),0.0,Lasalgaon(Niphad),0.0,,550.0814333840474
2025-07-27,2025-08-03,15,0,1300.0814333840474,Lasalgaon(Niphad),0.0,Lasalgaon(Niphad),0.0,,550.0814333840474
2025-07-28,2025-08-04,15,0,1301.0814333840474,Lasalgaon(Niphad),0.0,Lasalgaon(Niphad),0.0,,451.0814333840474
2025-07-29,2025-08-05,15,0,1250.0814333840474,Lasalgaon(Niphad),0.0,Lasalgaon(Niphad),0.0,,420.0814333840474
2025-07-30,2025-08-06,15,0,1230.0814333840474,Lasalgaon(Niphad),0.0,Lasalgaon(Niphad),0.0,,330.0814333840474
2025-07-31,2025-08-07,15,0,1220.0814333840474,Lasalgaon(Niphad),0.0,Lasalgaon(Niphad),0.0,,345.0814333840474
2025-08-01,2025-08-08,15,0,1256.429338375103,Pimpalgaon,36.34790499105566,Lasalgaon(Niphad),0.0,,506.42933837510304
2025-08-02,2025-08-09,15,0,1256.429338375103,Pimpalgaon,36.34790499105566,Lasalgaon(Niphad),0.0,,506.42933837510304
2025-08-03,2025-08-10,15,0,1300.0814333840474,Lasalgaon(Niphad),0.0,Lasalgaon(Niphad),0.0,,400.0814333840474
2025-08-04,2025-08-11,15,0,1300.0814333840474,Lasalgaon(Niphad),0.0,Lasalgaon(Niphad),0.0,,400.0814333840474
2025-08-05,2025-08-12,15,0,1400.0814333840474,Lasalgaon(Niphad),0.0,Lasalgaon(Niphad),0.0,,450.0814333840474
2025-08-06,2025-08-13,15,0,1600.0814333840474,Lasalgaon(Niphad),0.0,Lasalgaon(Niphad),0.0,,350.0814333840474
2025-08-07,2025-08-14,15,0,1550.0814333840474,Lasalgaon(Niphad),0.0,Lasalgaon(Niphad),0.0,,350.0814333840474
2025-08-08,2025-08-15,15,0,1550.0814333840474,Lasalgaon(Niphad),0.0,Lasalgaon(Niphad),0.0,,350.0814333840474
2025-08-09,2025-08-16,15,0,1525.0814333840474,Lasalgaon(Niphad),0.0,Lasalgaon(Niphad),0.0,,225.0814333840474
2025-08-10,2025-08-17,15,0,1525.0814333840474,Lasalgaon(Niphad),0.0,Lasalgaon(Niphad),0.0,,225.0814333840474
2025-08-11,2025-08-18,15,0,1550.0814333840474,Lasalgaon(Niphad),0.0,Lasalgaon(Niphad),0.0,,199.0814333840474
2025-08-12,2025-08-19,15,0,1550.0814333840474,Lasalgaon(Niphad),0.0,Lasalgaon(Niphad),0.0,,199.0814333840474
2025-08-13,2025-08-20,14,0,1500.0814333840474,Lasalgaon(Niphad),0.0,Lasalgaon(Niphad),0.0,,350.0814333840474
2025-08-14,2025-08-21,14,0,1450.0814333840474,Lasalgaon(Niphad),0.0,Lasalgaon(Niphad),0.0,,300.0814333840474
2025-08-15,2025-08-22,14,0,1450.0814333840474,Lasalgaon(Niphad),0.0,Lasalgaon(Niphad),0.0,,150.0814333840474
2025-08-16,2025-08-23,14,0,1421.0814333840474,Lasalgaon(Niphad),0.0,Lasalgaon(Niphad),0.0,,321.0814333840474
2025-08-17,2025-08-24,14,0,1421.0814333840474,Lasalgaon(Niphad),0.0,Lasalgaon(Niphad),0.0,,321.0814333840474
2025-08-18,2025-08-25,15,0,1350.0814333840474,Lasalgaon(Niphad),0.0,Lasalgaon(Niphad),0.0,,149.0814333840474
2025-08-19,2025-08-26,15,0,1320.0814333840474,Lasalgaon(Niphad),0.0,Lasalgaon(Niphad),0.0,,220.0814333840474
2025-08-20,2025-08-27,14,0,1320.0814333840474,Lasalgaon(Niphad),0.0,Lasalgaon(Niphad),0.0,,245.0814333840474
2025-08-21,2025-08-28,14,0,1270.0814333840474,Lasalgaon(Niphad),0.0,Lasalgaon(Niphad),0.0,,220.0814333840474
2025-08-22,2025-08-29,14,0,1270.0814333840474,Lasalgaon(Niphad),0.0,Lasalgaon(Niphad),0.0,,270.0814333840474
2025-08-23,2025-08-30,14,0,1270.0814333840474,Lasalgaon(Niphad),0.0,Lasalgaon(Niphad),0.0,,270.0814333840474
2025-08-24,2025-08-31,14,0,1275.0814333840474,Lasalgaon(Niphad),0.0,Lasalgaon(Niphad),0.0,,425.0814333840474
2025-08-25,2025-09-01,14,0,1275.0814333840474,Lasalgaon(Niphad),0.0,Lasalgaon(Niphad),0.0,,425.0814333840474
2025-08-26,2025-09-02,14,0,1290.0814333840474,Lasalgaon(Niphad),0.0,Lasalgaon(Niphad),0.0,,390.0814333840474
2025-08-27,2025-09-03,14,0,1270.0814333840474,Lasalgaon(Niphad),0.0,Lasalgaon(Niphad),0.0,,470.0814333840474
2025-08-28,2025-09-04,14,0,1230.0814333840474,Lasalgaon(Niphad),0.0,Lasalgaon(Niphad),0.0,,380.0814333840474
2025-08-29,2025-09-05,14,0,1230.0814333840474,Lasalgaon(Niphad),0.0,Lasalgaon(Niphad),0.0,,430.0814333840474
2025-08-30,2025-09-06,14,0,1230.0814333840474,Lasalgaon(Niphad),0.0,Lasalgaon(Niphad),0.0,,430.0814333840474
2025-08-31,2025-09-07,14,0,1206.429338375103,Pimpalgaon,6.347904991055657,Lasalgaon(Niphad),0.0,,406.42933837510304
2025-09-01,2025-09-08,14,0,1206.429338375103,Pimpalgaon,6.347904991055657,Lasalgaon(Niphad),0.0,,406.42933837510304
2025-09-02,2025-09-09,14,0,1175.0814333840474,Lasalgaon(Niphad),0.0,Lasalgaon(Niphad),0.0,,175.0814333840474
2025-09-03,2025-09-10,14,0,1175.0814333840474,Lasalgaon(Niphad),0.0,Lasalgaon(Niphad),0.0,,125.08143338404739
2025-09-04,2025-09-11,14,0,1050.0814333840474,Lasalgaon(Niphad),0.0,Lasalgaon(Niphad),0.0,,50.081433384047386
2025-09-05,2025-09-12,14,0,1056.429338375103,Pimpalgaon,55.34790499105566,Lasalgaon(Niphad),0.0,,56.42933837510304
2025-09-06,2025-09-13,14,0,1056.429338375103,Pimpalgaon,55.34790499105566,Lasalgaon(Niphad),0.0,,45.42933837510304
2025-09-07,2025-09-14,14,0,8645.583550500425,Pune,7595.502117116378,Lasalgaon(Niphad),7589.154212125322,,7634.583550500425
2025-09-08,2025-09-15,14,0,1050.0814333840474,Lasalgaon(Niphad),0.0,Lasalgaon(Niphad),0.0,,50.081433384047386
2025-09-09,2025-09-16,14,0,1175.0814333840474,Lasalgaon(Niphad),0.0,Lasalgaon(Niphad),0.0,,155.0814333840474
2025-09-10,2025-09-17,14,0,1125.0814333840474,Lasalgaon(Niphad),0.0,Lasalgaon(Niphad),0.0,,225.0814333840474
2025-09-11,2025-09-18,14,0,1100.0814333840474,Lasalgaon(Niphad),0.0,Lasalgaon(Niphad),0.0,,250.0814333840474
2025-09-12,2025-09-19,14,0,1050.0814333840474,Lasalgaon(Niphad),0.0,Lasalgaon(Niphad),0.0,,200.0814333840474
2025-09-13,2025-09-20,14,0,1025.0814333840474,Lasalgaon(Niphad),0.0,Lasalgaon(Niphad),0.0,,200.0814333840474
2025-09-14,2025-09-21,14,0,1025.0814333840474,Lasalgaon(Niphad),979.497882883622,Pune,0.0,,200.0814333840474
2025-09-15,2025-09-22,14,0,1030.0814333840474,Lasalgaon(Niphad),934.497882883622,Pune,0.0,,180.0814333840474
2025-09-16,2025-09-23,14,0,1081.429338375103,Pimpalgaon,935.8457878746776,Pune,0.0,,221.42933837510304
2025-09-17,2025-09-24,14,0,1056.429338375103,Pimpalgaon,960.8457878746776,Pune,0.0,,206.42933837510304
2025-09-18,2025-09-25,14,0,1056.429338375103,Pimpalgaon,1010.8457878746776,Pune,0.0,,56.42933837510304
2025-09-19,2025-09-26,14,0,1056.429338375103,Pimpalgaon,1060.8457878746776,Pune,0.0,,6.429338375103043
2025-09-20,2025-09-27,14,0,1025.0814333840474,Lasalgaon(Niphad),1029.497882883622,Pune,0.0,,125.08143338404739
2025-09-21,2025-09-28,14,0,1025.0814333840474,Lasalgaon(Niphad),0.0,Lasalgaon(Niphad),0.0,,125.08143338404739
2025-09-22,2025-09-29,14,0,1156.429338375103,Pimpalgaon,106.34790499105566,Lasalgaon(Niphad),0.0,,306.42933837510304
2025-09-23,2025-09-30,14,0,1156.429338375103,Pimpalgaon,156.34790499105566,Lasalgaon(Niphad),0.0,,336.42933837510304
2025-09-24,2025-10-01,15,0,1106.429338375103,Pimpalgaon,156.34790499105566,Lasalgaon(Niphad),0.0,,286.42933837510304
2025-09-25,2025-10-02,15,0,1106.429338375103,Pimpalgaon,156.34790499105566,Lasalgaon(Niphad),0.0,,256.42933837510304
2025-09-26,2025-10-03,15,0,1156.429338375103,Pimpalgaon,0.0,Pimpalgaon,0.0,,56.42933837510304
2025-09-27,2025-10-04,15,0,1200.0,Nasik,43.57066162489696,Pimpalgaon,0.0,,0.0
2025-09-28,2025-10-05,15,0,1200.0,Nasik,93.57066162489696,Pimpalgaon,0.0,,0.0
2025-09-29,2025-10-06,15,0,4137.484273901753,Pune(Manjri),3031.0549355266503,Pimpalgaon,3031.0549355266503,,3037.484273901753
2025-09-30,2025-10-07,15,0,1150.0,Nasik,93.57066162489696,Pimpalgaon,0.0,,0.0
2025-10-01,2025-10-08,15,0,1006.429338375103,Pimpalgaon,0.0,Pimpalgaon,0.0,,106.42933837510304
2025-10-02,2025-10-09,15,0,956.429338375103,Pimpalgaon,0.0,Pimpalgaon,0.0,,106.42933837510304
2025-10-03,2025-10-10,15,0,956.429338375103,Pimpalgaon,0.0,Pimpalgaon,0.0,,106.42933837510304
2025-10-04,2025-10-11,15,0,956.429338375103,Pimpalgaon,0.0,Pimpalgaon,0.0,,156.42933837510304
2025-10-05,2025-10-12,15,0,970.0814333840474,Lasalgaon(Niphad),13.652095008944343,Pimpalgaon,0.0,,170.0814333840474
2025-10-06,2025-10-13,15,0,981.429338375103,Pimpalgaon,0.0,Pimpalgaon,0.0,,231.42933837510304
2025-10-07,2025-10-14,15,0,1050.0814333840474,Lasalgaon(Niphad),43.65209500894434,Pimpalgaon,0.0,,250.0814333840474
2025-10-08,2025-10-15,15,0,1000.0814333840474,Lasalgaon(Niphad),43.65209500894434,Pimpalgaon,0.0,,199.0814333840474
2025-10-09,2025-10-16,15,0,1000.0814333840474,Lasalgaon(Niphad),43.65209500894434,Pimpalgaon,0.0,,220.0814333840474
2025-10-10,2025-10-17,14,0,1000.0814333840474,Lasalgaon(Niphad),18.652095008944343,Pimpalgaon,0.0,,220.0814333840474
2025-10-11,2025-10-18,11,0,1000.0814333840474,Lasalgaon(Niphad),0.0,Lasalgaon(Niphad),0.0,,150.0814333840474
2025-10-12,2025-10-19,7,0,1000.0814333840474,Lasalgaon(Niphad),1062.597159482294,Pune(Manjri),800.4586705096442,,150.0814333840474
2025-10-13,2025-10-20,6,0,1537.5491884620048,Pune(Moshi),1137.9264255876017,Pune(Pimpri),0.0,,687.5491884620048
2025-10-14,2025-10-21,6,0,399.6227628744032,Pune(Pimpri),0.0,Pune(Pimpri),0.0,,
2025-10-15,2025-10-22,6,0,1056.429338375103,Pimpalgaon,556.8065755006999,Pune(Pimpri),556.8065755006999,,
2025-10-16,2025-10-23,7,0,1056.429338375103,Pimpalgaon,556.8065755006999,Pune(Pimpri),556.8065755006999,,
2025-10-17,2025-10-24,9,0,1056.429338375103,Pimpalgaon,0.0,Pimpalgaon,0.0,,
2025-10-18,2025-10-25,7,0,1250.0814333840474,Lasalgaon(Niphad),750.4586705096442,Pune(Pimpri),750.4586705096442,,
2025-10-19,2025-10-26,7,0,1250.0814333840474,Lasalgaon(Niphad),850.4586705096442,Pune(Pimpri),850.4586705096442,,0.08143338404738643
2025-10-20,2025-10-27,6,0,1256.429338375103,Pimpalgaon,756.8065755006999,Pune(Pimpri),756.8065755006999,,6.429338375103043
2025-10-21,2025-10-28,6,0,1481.429338375103,Pimpalgaon,581.8065755006999,Pune(Pimpri),581.8065755006999,,231.42933837510304
2025-10-22,2025-10-29,6,0,1456.429338375103,Pimpalgaon,556.8065755006999,Pune(Pimpri),556.8065755006999,,156.42933837510304
2025-10-23,2025-10-30,6,0,1606.429338375103,Pimpalgaon,1156.8065755006999,Pune(Pimpri),1156.8065755006999,,356.42933837510304
